id,created_date,modified_date,is_active,orgunit_name,orgunit_code,parent_orgunit_type,parent_orgunit_id,address,latitude,longitude,created_by_id,modified_by_id,organization_id,orgunit_type_id
1,2018-09-21 22:05:43.3613+05:30,2018-09-21 22:05:43.361349+05:30,f,DEFAULT,D-org,0,0,Coimbatore,0,0,1,1,1,177
2,2018-09-21 22:06:29.215975+05:30,2018-09-21 22:06:29.216039+05:30,f,Unit Default,D-3,0,1,Default,0,0,1,1,1,179
3,2018-09-22 01:47:32.414649+05:30,2018-09-22 01:47:32.414708+05:30,t,NEXT TECHNO ENTERPRISES PVT LTD,NTEPL-N,0,0,"Module No: 308/1,Third Floor
ELCOT IT/ITES-SEZ, TIDEL Park, COIMBATORE-641 014",0,0,1,1,2,177
4,2018-09-22 01:54:59.476206+05:30,2018-09-22 01:54:59.47626+05:30,t,GREEN TELEMED INDIA PVT LTD,GTIPL-G,0,0,"19E 403, GREEN Maestros Apartment, Thanneer Pandal, Coimbatore-641004",0,0,1,1,3,177
5,2018-09-22 01:56:47.682906+05:30,2018-09-22 01:56:47.682958+05:30,t,GREEN MAESTROS ENERTECH PVT LIMITED,GMEPL-G,0,0,"19E,404, GREEN Maestros Apartment, Thaneer Pandal,
Peelamedu, Coimbatore - 641004",0,0,1,1,4,177
6,2018-09-22 02:05:27.854105+05:30,2018-09-22 02:05:27.85415+05:30,t,Business Services Group (BSG),NTE-7,0,3,"Module No: 308/1,Third Floor
ELCOT IT/ITES-SEZ, TIDEL Park
Coimbatore-641 014, Tamil Nadu, INDIA",0,0,1,1,2,178
7,2018-09-22 02:05:52.215131+05:30,2018-09-22 02:05:52.215221+05:30,t,Techno Functional Group (TFG),NTE-8,0,3,"Module No: 308/1,Third Floor
ELCOT IT/ITES-SEZ, TIDEL Park
Coimbatore-641 014, Tamil Nadu, INDIA",0,0,1,1,2,178
8,2018-09-22 02:06:38.303332+05:30,2018-09-22 02:06:38.303375+05:30,t,Business Management Group (BMG),NTE-9,0,3,"Module No: 308/1,Third Floor
ELCOT IT/ITES-SEZ, TIDEL Park
Coimbatore-641 014, Tamil Nadu, INDIA",0,0,1,1,2,178
9,2018-09-22 02:07:13.843857+05:30,2018-09-22 02:07:13.84392+05:30,t,Business Services Group (BSG),GTI-10,0,4,"19E 403, GREEN Maestros Apartment, Thanneer Pandal, Coimbatore-641004",0,0,1,1,3,178
10,2018-09-22 02:07:35.228944+05:30,2018-09-22 02:07:35.229015+05:30,t,Techno Functional Group (TFG),GTI-11,0,4,"19E 403, GREEN Maestros Apartment, Thanneer Pandal, Coimbatore-641004",0,0,1,1,3,178
11,2018-09-22 02:08:01.820337+05:30,2018-09-22 02:08:01.820411+05:30,t,Business Management Group (BMG),GTI-12,0,4,"19E 403, GREEN Maestros Apartment, Thanneer Pandal, Coimbatore-641004",0,0,1,1,3,178
12,2018-09-22 02:09:37.254789+05:30,2018-09-22 02:09:37.254832+05:30,t,Business Services Group (BSG),GME-13,0,5,"19E,404, GREEN Maestros Apartment, Thaneer Pandal,
Peelamedu, Coimbatore - 641004",0,0,1,1,4,178
13,2018-09-22 02:10:03.322641+05:30,2018-09-22 02:10:03.322686+05:30,t,Techno Functional Group (TFG),GME-14,0,5,"19E,404, GREEN Maestros Apartment, Thaneer Pandal,
Peelamedu, Coimbatore - 641004
",0,0,1,1,4,178
14,2018-09-22 02:10:28.824301+05:30,2018-09-22 02:10:28.824344+05:30,t,Business Management Group (BMG),GME-15,0,5,"19E,404, GREEN Maestros Apartment, Thaneer Pandal,
Peelamedu, Coimbatore - 641004
",0,0,1,1,4,178
15,2018-09-22 02:35:20.110819+05:30,2018-09-22 02:35:20.110885+05:30,f,Sample,D-16,0,2,sample,0,0,1,1,1,179
